\\10.23.0.9\Work - Dsystems\ПРОЕКТЫ\Испытания Дагестанский ППУ\Испытания на вибростоле\2023-07-28\SR11\5.EDT
28/07/23,09:29:31
VIN: 000218BF	FSmp: 1500.0
T[sec]	X[м/с2]	Y[м/с2]	
0.426667	-0.0264369	0.00512272	
0.427333	0.0955021	0.022168	
0.428000	0.241774	0.0339075	
0.428667	0.18021	0.0385119	
0.429333	0.0808963	0.040006	
0.430000	0.119957	0.0395791	
0.430667	0.0471717	0.0366823	
0.431333	0.0274736	0.0334806	
0.432000	0.0274126	0.0288458	
0.432667	0.0221984	0.023845	
0.433333	-0.0648573	0.0192102	
0.434000	-0.257142	0.015795	
0.434667	-0.0136911	0.0196981	
0.435333	0.0983989	0.0214361	
0.436000	0.222533	0.0186918	
0.436667	0.0695836	0.0109163	
0.437333	0.00551912	0.00222594	
0.438000	0.0298825	-0.00533616	
0.438667	0.00155511	-0.0128678	
0.439333	0.19567	-0.0210702	
0.440000	0.109986	-0.0329622	
0.440667	0.0860495	-0.0461959	
0.441333	0.0308278	-0.058027	
0.442000	-0.0865678	-0.0680895	
0.442667	-0.115749	-0.0744319	
0.443333	-0.148711	-0.075804	
0.444000	-0.104284	-0.0726023	
0.444667	-0.0970572	-0.0679065	
0.445333	-0.216069	-0.0594906	
0.446000	-0.138283	-0.0466533	
0.446667	-0.117091	-0.0323829	
0.447333	0.00683029	-0.0164964	
0.448000	0.046074	-0.00268333	
0.448667	0.0257356	0.0105199	
0.449333	-0.150846	0.0199725	
0.450000	0.0495501	0.0341514	
0.450667	0.134715	0.0445798	
0.451333	0.0322914	0.0481779	
0.452000	0.258118	0.0516846	
0.452667	0.140387	0.0481474	
0.453333	0.20683	0.0406768	
0.454000	-0.0355236	0.0303704	
0.454667	0.158926	0.0225034	
0.455333	-0.00155511	0.0108553	
0.456000	-0.126269	0.00149413	
0.456667	-0.122823	-0.00490927	
0.457333	-0.0343344	-0.00887328	
0.458000	0.129897	-0.012075	
0.458667	0.100442	-0.01796	
0.459333	0.127275	-0.0267113	
0.460000	0.0252782	-0.0374141	
0.460667	0.0952582	-0.045952	
0.461333	-0.0112822	-0.0556181	
0.462000	-0.0418355	-0.0630582	
0.462667	-0.018143	-0.0687298	
0.463333	-0.165513	-0.0706203	
0.464000	-0.189602	-0.0676016	
0.464667	-0.246897	-0.0596736	
0.465333	-0.15109	-0.0465009	
0.466000	-0.174142	-0.0322609	
0.466667	-0.137185	-0.0136606	
0.467333	0.132764	0.00490927	
0.468000	0.136941	0.0175941	
0.468667	0.178014	0.0271077	
0.469333	-0.0353407	0.0311327	
0.470000	0.0181125	0.0358895	
0.470667	-0.00274431	0.0407378	
0.471333	-0.0275041	0.0432687	
0.472000	-0.0223509	0.0465009	
0.472667	0.0863239	0.049977	
0.473333	0.151882	0.0487573	
0.474000	-0.265253	0.0454336	
0.474667	-0.0129593	0.0484219	
0.475333	0.150724	0.0493366	
